,mae,surface_mae,iou,eikonal_error,slice_slab_excess,slice_slab_violation_rate,contour_envelope_max
none,0.2070279568433761,0.0009838471887633,0.9929857850074768,0.3458123803138733,0.0001560466043883,0.0573819726705551,0.0583127588033676
soft,0.2035635411739349,0.0013036509044468,0.9903846383094788,0.4034186005592346,6.348761871777242e-06,0.009370120242238,0.0072499141097068
hard,0.196372389793396,0.0005902823177166,0.9959061145782472,0.3478835523128509,7.03118130331859e-05,0.0381211712956428,0.0
eikonal,0.1932001411914825,0.0006895193946547,0.9956917762756348,0.014762682840228,0.0001855843438534,0.0663116201758384,0.0340642035007476
crosssdf,0.2495964765548706,0.0528273023664951,0.5861548185348511,0.1195096150040626,6.900889275129884e-05,0.0512553565204143,0.0668219402432441
crosssdf_hard_multiplane_10k,0.2173396795988083,0.04877322167158127,0.7743319869041443,0.09316352009773254,1.267339575861115e-05,0.043406881392002106,0.0
