,mae,surface_mae,iou,eikonal_error,slice_slab_excess,slice_slab_violation_rate,contour_envelope_max
none,0.20702795684337616,0.0009838471887633204,0.9929857850074768,0.3458123803138733,0.00015604660438839346,0.057381972670555115,0.058312758803367615
soft,0.20356354117393494,0.0013036509044468403,0.9903846383094788,0.4034186005592346,6.348761871777242e-06,0.009370120242238045,0.007249914109706879
hard,0.196372389793396,0.0005902823177166283,0.9959061145782471,0.34788355231285095,7.03118130331859e-05,0.03812117129564285,0.0
eikonal,0.19320014119148254,0.0006895193946547806,0.9956917762756348,0.01476268284022808,0.0001855843438534066,0.06631162017583847,0.03406420350074768
crosssdf,0.2495964765548706,0.05282730236649513,0.5861548185348511,0.11950961500406265,6.900889275129884e-05,0.05125535652041435,0.06682194024324417
