,chamfer_x100,hausdorff_x100,components
none,1.264539596721707,4.386381683219538,1.0
soft,1.2548085771619022,4.379177959433274,1.0
hard,1.2632389608284045,4.449316790589742,1.0
eikonal,1.2538642007635132,5.037668253694225,1.0
crosssdf,10.27174966106175,64.09505553289819,2.0
ground truth,,,1.0
