step,learning_rate,total,on,off,eikonal,minimum_surface
1,0.0004999999888966951,0.1682862639427185,0.01667359471321106,0.13096632063388824,17.503095626831055,0.06286510080099106
100,0.0004998889760822866,0.015822943300008774,0.011377657763659954,0.0020597856491804123,0.509918212890625,0.037511635571718216
200,0.0004995560138963547,0.006555519998073578,0.005551130510866642,0.0002472152700647712,0.3883039653301239,0.007377411238849163
300,0.0004990014420356846,0.0032815078739076853,0.0027088504284620285,0.0,0.30512315034866333,0.005350684281438589
400,0.0004982258077957466,0.0028248000890016556,0.0023226188495755196,0.0,0.26437076926231384,0.004756207577884197
500,0.0004972298766338923,0.002532132202759385,0.0020567772444337606,0.0,0.23934505879878998,0.0047201975248754025
600,0.0004960146314139388,0.0020893688779324293,0.0016311088111251593,0.0,0.22835874557495117,0.004598027560859919
700,0.0004945812714361992,0.002365902764722705,0.0019136586925014853,0.0,0.21293558180332184,0.00478616775944829
800,0.0004929312112539204,0.002181412186473608,0.0017447260906919837,0.0,0.2004857212305069,0.004724008031189442
900,0.0004910660792772886,0.001605771016329527,0.001178893493488431,0.0,0.1999415159225464,0.004538719542324543
1000,0.0004889877161663837,0.0014828889397904277,0.0010673748329281807,0.0,0.19330482184886932,0.004444184713065624
1100,0.00048669817301467397,0.0015636234311386943,0.0011498371604830027,0.0,0.18602880835533142,0.004555149003863335
1200,0.00048419970932483004,0.0013189483433961868,0.0009105299832299352,0.0,0.1860360950231552,0.004447645973414183
1300,0.0004814947907788697,0.0015289849834516644,0.0011251443065702915,0.0,0.17937202751636505,0.004489372484385967
1400,0.00047858608680482817,0.0013304123422130942,0.0009475235128775239,0.0,0.17481976747512817,0.00416138069704175
1500,0.0004754764679423566,0.0011907342122867703,0.0008202206809073687,0.0,0.17196786403656006,0.00397091219201684
1600,0.00047216900300984307,0.001053248648531735,0.0006837956025265157,0.0,0.17128261923789978,0.0039634075947105885
1700,0.00046866695607586075,0.0012234430760145187,0.0008711720583960414,0.0,0.16910593211650848,0.003663301235064864
1800,0.00046497378323792697,0.0009707107092253864,0.000634922063909471,0.0,0.16566316783428192,0.003402508795261383
1900,0.0004610931292117502,0.000962952384725213,0.0006444847676903009,0.0,0.1610562652349472,0.0031482260674238205
2000,0.0004570288237343377,0.0008667138172313571,0.0005543644074350595,0.0,0.15819354355335236,0.0030831180047243834
2100,0.0004527848777845046,0.0008787285769358277,0.0005728681571781635,0.0,0.15611012279987335,0.0029950051102787256
2200,0.0004483654796245269,0.0008593834936618805,0.0005528017645701766,0.0,0.15385998785495758,0.0030544346664100885
2300,0.0004437749906668282,0.0008171694353222847,0.0005254747811704874,0.0,0.15232230722904205,0.0027874463703483343
2400,0.00043901794116979275,0.000827978306915611,0.0005424046539701521,0.0,0.1477724015712738,0.0027560240123420954
2500,0.00043409902576694887,0.0007094108732417226,0.00043302273843437433,0.0,0.1457703560590744,0.002612355398014188
2600,0.0004290230988339311,0.000838911160826683,0.0005622185999527574,0.0,0.14464308321475983,0.0026409896090626717
2700,0.0004237951696977982,0.0007531153387390077,0.00048525899183005095,0.0,0.14323395490646362,0.002492447616532445
2800,0.0004184203976934322,0.0007426931406371295,0.00047884410014376044,0.0,0.1389738768339157,0.0024975035339593887
2900,0.0004129040870718968,0.0007451424608007073,0.0004864552174694836,0.0,0.1362380087375641,0.002448984421789646
3000,0.00040725168176578393,0.0007228862959891558,0.0004668380133807659,0.0,0.13441681861877441,0.002432628069072962
3100,0.0004014687600167073,0.0006959923193790019,0.00044382252963259816,0.0,0.13084746897220612,0.0024264459498226643
3200,0.00039556102887025255,0.0006627071998082101,0.000417371338699013,0.0,0.13005897402763367,0.0023055376950651407
3300,0.0003895343185438124,0.00076030392665416,0.0005120534333400428,0.0,0.1297452300786972,0.0023701051250100136
3400,0.00038339457667286534,0.0006555264117196202,0.00041424803202971816,0.0,0.12822724878787994,0.0022610235027968884
3500,0.00037714786244137823,0.0006595213781110942,0.0004213973879814148,0.0,0.12587271630764008,0.002245025709271431
3600,0.0003708003406021218,0.0006422378355637193,0.0004066915425937623,0.0,0.12477923929691315,0.0022153411991894245
3700,0.00036435827539280677,0.0006642590160481632,0.0004319462168496102,0.0,0.12343816459178925,0.0021774929482489824
3800,0.00035782802435403374,0.000659672892652452,0.00042826234130188823,0.0,0.12032830715179443,0.002221644390374422
3900,0.0003512160320551721,0.0006293421611189842,0.0004020084161311388,0.0,0.1199471727013588,0.002147731138393283
4000,0.00034452882373434525,0.0006636061589233577,0.0004369999223854393,0.0,0.11835940927267075,0.002164936624467373
4100,0.000337772998858809,0.0006801821873523295,0.0004533766768872738,0.0,0.11693684756755829,0.002197373192757368
4200,0.0003309552246120751,0.0005962428404018283,0.0003721361281350255,0.0,0.11767479032278061,0.002128638094291091
4300,0.0003240822293142051,0.0007699966663494706,0.0005456244107335806,0.0,0.11680208146572113,0.002151402411982417
4400,0.00031716079578177157,0.0005788675625808537,0.00036035641096532345,0.0,0.11493789404630661,0.0020714651327580214
4500,0.00031019775463403604,0.0006455131224356592,0.00042794656474143267,0.0,0.11286638677120209,0.0020940033718943596
4600,0.0003031999775519529,0.0005970915080979466,0.0003822739818133414,0.0,0.11437773704528809,0.002008795039728284
4700,0.00029617437049665046,0.0005793272284790874,0.0003657925990410149,0.0,0.11062615364789963,0.0020581691060215235
4800,0.00028912786689408145,0.0005866512656211853,0.00037453550612553954,0.0,0.11059185117483139,0.002030477859079838
4900,0.0002820674207925662,0.0005958485417068005,0.00038191390922293067,0.0,0.10981995612382889,0.002082293154671788
5000,0.000274999999999989,0.000562753644771874,0.00035346177173778415,0.0,0.11092764139175415,0.0019672848284244537
5100,0.0002679325792074117,0.0005584688624367118,0.000350905058439821,0.0,0.10878899693489075,0.0019754956010729074
5200,0.00026087213310589663,0.0005783558008261025,0.00037026460631750524,0.0,0.11100620776414871,0.0019416991854086518
5300,0.0002538256295033277,0.0005657654255628586,0.00036036554956808686,0.0,0.10607166588306427,0.0019865643698722124
5400,0.0002468000224480264,0.0005652457475662231,0.0003608199767768383,0.0,0.10671144723892212,0.0019542856607586145
5500,0.0002398022453659438,0.0005507106543518603,0.00034770253114402294,0.0,0.10637778043746948,0.001932606683112681
5600,0.00023283920421820776,0.0005598117131739855,0.0003577520838007331,0.0,0.1058792844414711,0.001923606381751597
5700,0.000225917770685774,0.0006187055259943008,0.0004134120827075094,0.0,0.10529522597789764,0.00199996423907578
5800,0.00021904477538790408,0.000530896068084985,0.00032993819331750274,0.0,0.10576997697353363,0.0019037578022107482
5900,0.00021222700114116995,0.0005335035384632647,0.00033464899752289057,0.0,0.1040634736418724,0.0018958214204758406
6000,0.00020547117626563358,0.0005656885332427919,0.000364823208656162,0.0,0.10471649467945099,0.001922976109199226
6100,0.00019878396794480635,0.0005690953694283962,0.00037068547680974007,0.0,0.1023322194814682,0.0019215530483052135
6200,0.00019217197564594455,0.0005569513887166977,0.0003588711260817945,0.0,0.10098136961460114,0.0019419773016124964
6300,0.0001856417246071716,0.0005543364095501602,0.00035850401036441326,0.0,0.10151762515306473,0.0018862958531826735
6400,0.00017919965939785593,0.0005260183243080974,0.00033123145112767816,0.0,0.10156860947608948,0.0018643647199496627
6500,0.0001728521375585995,0.0005428402801044285,0.00034808897180482745,0.0,0.10141032934188843,0.0018668195698410273
6600,0.00016660542332711222,0.0005272784037515521,0.00033395871287211776,0.0,0.09980364888906479,0.0018703199457377195
6700,0.0001604656814561653,0.0005375045002438128,0.00034491156111471355,0.0,0.10034447908401489,0.0018449695780873299
6800,0.00015443897112972534,0.0005174943362362683,0.0003256227937527001,0.0,0.09940328449010849,0.001849365304224193
6900,0.00014853123998327075,0.0005521585699170828,0.0003603515215218067,0.0,0.09910840541124344,0.0018539726734161377
7000,0.0001427483182341942,0.0005288847605697811,0.00033783825347200036,0.0,0.09907658398151398,0.0018393980572000146
